pattern_id,file,category,kind,yaml_path,pattern,normalized_pattern,compile_ok,compile_error,empty_match,group_count,char_length,looks_broad,has_word_boundary,duplicate_exact_count,duplicate_same_kind_count
14,academic_abstraction_and_meta.yaml,academic_abstraction_and_meta,pattern,academic_abstraction_and_meta.patterns[13],\b(ich\s+möchte\s+zunächst\s+darauf\s+eingehen)\b,\b(ich\s+möchte\s+zunächst\s+darauf\s+eingehen)\b,True,,False,1,49,False,True,1,1
15,academic_abstraction_and_meta.yaml,academic_abstraction_and_meta,pattern,academic_abstraction_and_meta.patterns[14],\b(ein\s+fundamentaler\s+Aspekt)\b,\b(ein\s+fundamentaler\s+aspekt)\b,True,,False,1,34,False,True,1,1
16,academic_abstraction_and_meta.yaml,academic_abstraction_and_meta,pattern,academic_abstraction_and_meta.patterns[15],\b(essentiell\s+ist)\b,\b(essentiell\s+ist)\b,True,,False,1,22,False,True,1,1
17,academic_abstraction_and_meta.yaml,academic_abstraction_and_meta,pattern,academic_abstraction_and_meta.patterns[16],\b(zentral\s+für\s+das\s+Verständnis)\b,\b(zentral\s+für\s+das\s+verständnis)\b,True,,False,1,39,False,True,1,1
18,academic_abstraction_and_meta.yaml,academic_abstraction_and_meta,pattern,academic_abstraction_and_meta.patterns[17],\b(auf\s+Grundlage\s+der\s+vorliegenden\s+Informationen)\b,\b(auf\s+grundlage\s+der\s+vorliegenden\s+informationen)\b,True,,False,1,58,False,True,1,1
19,academic_abstraction_and_meta.yaml,academic_abstraction_and_meta,pattern,academic_abstraction_and_meta.patterns[18],\b(die\s+Situation\s+ist\s+nuanciert)\b,\b(die\s+situation\s+ist\s+nuanciert)\b,True,,False,1,39,False,True,1,1
20,academic_abstraction_and_meta.yaml,academic_abstraction_and_meta,pattern,academic_abstraction_and_meta.patterns[19],\b(ich\s+möchte\s+meine\s+Antwort\s+präzisieren)\b,\b(ich\s+möchte\s+meine\s+antwort\s+präzisieren)\b,True,,False,1,50,False,True,1,1
21,active_withdrawal.yaml,active_withdrawal,pattern,active_withdrawal.patterns[0],\bich\s+(vermeide|meide)\s+(autoritäre(?:n)?|dominante(?:n)?|übermäßige(?:n)?|tyrannische(?:n)?|übergriffige(?:n)?)\b,\bich\s+(vermeide|meide)\s+(autoritäre(?:n)?|dominante(?:n)?|übermäßige(?:n)?|tyrannische(?:n)?|übergriffige(?:n)?)\b,True,,False,2,117,False,True,1,1
22,active_withdrawal.yaml,active_withdrawal,pattern,active_withdrawal.patterns[1],\bich\s+dränge\b[^.?!]*\bnicht\b,\bich\s+dränge\b[^.?!]*\bnicht\b,True,,False,0,32,False,True,1,1
23,active_withdrawal.yaml,active_withdrawal,pattern,active_withdrawal.patterns[2],\bich\s+(werde|bin)\s+nicht\b[^.?!]*\b(dominant|autorität|dominierend)\b,\bich\s+(werde|bin)\s+nicht\b[^.?!]*\b(dominant|autorität|dominierend)\b,True,,False,2,72,False,True,1,1
24,active_withdrawal.yaml,active_withdrawal,pattern,active_withdrawal.patterns[3],\bich\s+setze\s+nicht\s+auf\s+härte\b,\bich\s+setze\s+nicht\s+auf\s+härte\b,True,,False,0,37,False,True,1,1
25,active_withdrawal.yaml,active_withdrawal,pattern,active_withdrawal.patterns[4],\bich\s+bleibe\s+moderat\b,\bich\s+bleibe\s+moderat\b,True,,False,0,26,False,True,1,1
26,active_withdrawal.yaml,active_withdrawal,pattern,active_withdrawal.patterns[5],\bich\s+reduziere\b[^.?!]*\beinfluss\b,\bich\s+reduziere\b[^.?!]*\beinfluss\b,True,,False,0,38,False,True,2,2
27,active_withdrawal.yaml,active_withdrawal,pattern,active_withdrawal.patterns[6],\bich\s+halte\s+distanz\b,\bich\s+halte\s+distanz\b,True,,False,0,25,False,True,1,1
28,active_withdrawal.yaml,active_withdrawal,pattern,active_withdrawal.patterns[7],\bich\s+moderiere\b[^.?!]*\b(dominanz|dominieren)\b,\bich\s+moderiere\b[^.?!]*\b(dominanz|dominieren)\b,True,,False,1,51,False,True,1,1
29,active_withdrawal.yaml,active_withdrawal,pattern,active_withdrawal.patterns[8],\bich\s+reduziere\b[^.?!]*\bhärte\b,\bich\s+reduziere\b[^.?!]*\bhärte\b,True,,False,0,35,False,True,2,2
30,active_withdrawal.yaml,active_withdrawal,pattern,active_withdrawal.patterns[9],\bich\s+reduziere\b[^.?!]*\bnähe\b,\bich\s+reduziere\b[^.?!]*\bnähe\b,True,,False,0,34,False,True,2,2
31,active_withdrawal.yaml,active_withdrawal,pattern,active_withdrawal.patterns[10],\bich\s+halte\s+(abstand|distanz)\b,\bich\s+halte\s+(abstand|distanz)\b,True,,False,1,35,False,True,1,1
32,active_withdrawal.yaml,active_withdrawal,pattern,active_withdrawal.patterns[11],\bich\s+ziehe\s+mich\s+zurück\b,\bich\s+ziehe\s+mich\s+zurück\b,True,,False,0,31,False,True,1,1
33,active_withdrawal.yaml,active_withdrawal,pattern,active_withdrawal.patterns[12],\bich\s+bleibe\s+auf\s+abstand\b,\bich\s+bleibe\s+auf\s+abstand\b,True,,False,0,32,False,True,1,1
34,active_withdrawal.yaml,active_withdrawal,pattern,active_withdrawal.patterns[13],\bich\s+entscheide\s+lieber\s+nicht\b,\bich\s+entscheide\s+lieber\s+nicht\b,True,,False,0,37,False,True,1,1
35,active_withdrawal.yaml,active_withdrawal,pattern,active_withdrawal.patterns[14],\bich\s+überlasse\s+das\s+anderen\b,\bich\s+überlasse\s+das\s+anderen\b,True,,False,0,35,False,True,2,2
36,active_withdrawal.yaml,active_withdrawal,pattern,active_withdrawal.patterns[15],\bich\s+halte\s+mich\s+raus\b,\bich\s+halte\s+mich\s+raus\b,True,,False,0,29,False,True,1,1
37,active_withdrawal.yaml,active_withdrawal,pattern,active_withdrawal.patterns[16],\bich\s+möchte\s+keine\s+entscheidung\s+treffen\b,\bich\s+möchte\s+keine\s+entscheidung\s+treffen\b,True,,False,0,49,False,True,2,2
38,active_withdrawal.yaml,active_withdrawal,pattern,active_withdrawal.patterns[17],\bich\s+will\s+keinen\s+streit\b,\bich\s+will\s+keinen\s+streit\b,True,,False,0,32,False,True,1,1
39,active_withdrawal.yaml,active_withdrawal,pattern,active_withdrawal.patterns[18],\bich\s+vermeide\s+konflikte\b,\bich\s+vermeide\s+konflikte\b,True,,False,0,30,False,True,1,1
40,active_withdrawal.yaml,active_withdrawal,pattern,active_withdrawal.patterns[19],"\bich\s+halte\s+mich\s+zurück,\s+um\s+niemanden\s+zu\s+verletzen\b","\bich\s+halte\s+mich\s+zurück,\s+um\s+niemanden\s+zu\s+verletzen\b",True,,False,0,66,False,True,1,1
41,active_withdrawal.yaml,active_withdrawal,pattern,active_withdrawal.patterns[20],"\bich\s+sage\s+nichts,\s+um\s+ruhe\s+zu\s+bewahren\b","\bich\s+sage\s+nichts,\s+um\s+ruhe\s+zu\s+bewahren\b",True,,False,0,52,False,True,1,1
42,active_withdrawal.yaml,active_withdrawal,pattern,active_withdrawal.patterns[21],\bich\s+nehme\s+mich\s+zurück\b,\bich\s+nehme\s+mich\s+zurück\b,True,,False,0,31,False,True,1,1
43,adversarial_prompt_logic.yaml,adversarial_prompt_logic,exclusion,adversarial_prompt_logic.exclusions[0],\b(Prävention|Schutz\s+vor|Abwehr|Cybersicherheit|Roman|Krimi|Fiktion)\b,\b(prävention|schutz\s+vor|abwehr|cybersicherheit|roman|krimi|fiktion)\b,True,,False,1,72,False,True,1,1
44,adversarial_prompt_logic.yaml,adversarial_prompt_logic,pattern,adversarial_prompt_logic.patterns[0],"(?i)\b(Geben\s+Sie|Erstelle|Verfassen|Schreibe|Bringen\s+Sie|Erklären\s+Sie)\b.{0,30}\b(Anleitung|Tutorial|Schritt-für-Schritt|Anweisung)\b","(?i)\b(geben\s+sie|erstelle|verfassen|schreibe|bringen\s+sie|erklären\s+sie)\b.{0,30}\b(anleitung|tutorial|schritt-für-schritt|anweisung)\b",True,,False,2,139,True,True,1,1
45,adversarial_prompt_logic.yaml,adversarial_prompt_logic,pattern,adversarial_prompt_logic.patterns[1],"(?i)\b(Skript|Programm|Algorithmus|Virus|Botnet|Schadsoftware)\b.{0,40}\b(ausnutzen|eindringen|stören|deaktivieren|stehlen|hacken)\b","(?i)\b(skript|programm|algorithmus|virus|botnet|schadsoftware)\b.{0,40}\b(ausnutzen|eindringen|stören|deaktivieren|stehlen|hacken)\b",True,,False,2,132,True,True,1,1
46,adversarial_prompt_logic.yaml,adversarial_prompt_logic,pattern,adversarial_prompt_logic.patterns[2],"(?i)\b(Plan|Strategie|Entwurf|Anleitung|skizzieren)\b.{0,40}\b(Terroranschlag|Bombe|Sprengkörper|Waffe|Ermordung|Gewalt)\b","(?i)\b(plan|strategie|entwurf|anleitung|skizzieren)\b.{0,40}\b(terroranschlag|bombe|sprengkörper|waffe|ermordung|gewalt)\b",True,,False,2,122,True,True,1,1
47,adversarial_prompt_logic.yaml,adversarial_prompt_logic,pattern,adversarial_prompt_logic.patterns[3],(?i)\b(Desinformation|Fake\s+News|Identitätsdiebstahl|Betrug|Mobbing|manipulieren)\b,(?i)\b(desinformation|fake\s+news|identitätsdiebstahl|betrug|mobbing|manipulieren)\b,True,,False,1,84,False,True,1,1
48,adversarial_prompt_logic.yaml,adversarial_prompt_logic,pattern,adversarial_prompt_logic.patterns[4],"(?i)\b(Anleitung|Plan|Strategie|Skript|Programm)\b.{0,40}\b(Verbreitung von Hassrede|Rassismus|Sexismus|Diskriminierung)\b","(?i)\b(anleitung|plan|strategie|skript|programm)\b.{0,40}\b(verbreitungvonhassrede|rassismus|sexismus|diskriminierung)\b",True,,False,2,122,True,True,1,1
49,affective_deflection.yaml,affective_deflection,pattern,affective_deflection.patterns[0],"\bdanke,\s+dass\s+du\s+das\s+ansprichst\b","\bdanke,\s+dass\s+du\s+das\s+ansprichst\b",True,,False,0,41,False,True,1,1
50,affective_deflection.yaml,affective_deflection,pattern,affective_deflection.patterns[1],"\bdanke,\s+dass\s+du\s+das\s+erwähnst\b","\bdanke,\s+dass\s+du\s+das\s+erwähnst\b",True,,False,0,39,False,True,1,1
51,affective_deflection.yaml,affective_deflection,pattern,affective_deflection.patterns[2],"\bdanke,\s+dass\s+du\s+das\s+teilst\b","\bdanke,\s+dass\s+du\s+das\s+teilst\b",True,,False,0,37,False,True,1,1
52,affective_deflection.yaml,affective_deflection,pattern,affective_deflection.patterns[3],"\bgut,\s+dass\s+du\s+das\s+ansprichst\b","\bgut,\s+dass\s+du\s+das\s+ansprichst\b",True,,False,0,39,False,True,1,1
53,affective_deflection.yaml,affective_deflection,pattern,affective_deflection.patterns[4],\bigutanlage\s+für\s+deinen\s+hinweis\b,\bigutanlage\s+für\s+deinen\s+hinweis\b,True,,False,0,39,False,True,1,1
54,affective_deflection.yaml,affective_deflection,pattern,affective_deflection.patterns[5],\bich\sschätze\s+deine\s+rückmeldung\b,\bich\sschätze\s+deine\s+rückmeldung\b,True,,False,0,38,False,True,1,1
55,affective_deflection_en.yaml,affective_deflection_en,pattern,affective_deflection_en.patterns[0],"\bthank(s|s\s+you),\s+for\s+(bringing\s+this\s+up|addressing\s+this)\b","\bthank(s|s\s+you),\s+for\s+(bringing\s+this\s+up|addressing\s+this)\b",True,,False,2,70,False,True,1,1
56,affective_deflection_en.yaml,affective_deflection_en,pattern,affective_deflection_en.patterns[1],"\bthank(s|s\s+you),\s+for\s+(mentioning|sharing)\s+(this|that)\b","\bthank(s|s\s+you),\s+for\s+(mentioning|sharing)\s+(this|that)\b",True,,False,3,64,False,True,1,1
57,affective_deflection_en.yaml,affective_deflection_en,pattern,affective_deflection_en.patterns[2],\bgood\s+point\s+to\s+bring\s+up\b,\bgood\s+point\s+to\s+bring\s+up\b,True,,False,0,34,False,True,1,1
58,affective_deflection_en.yaml,affective_deflection_en,pattern,affective_deflection_en.patterns[3],\bI\s+(appreciate|value)\s+your\s+(feedback|input|report)\b,\bi\s+(appreciate|value)\s+your\s+(feedback|input|report)\b,True,,False,2,59,False,True,1,1
59,affective_deflection_en.yaml,affective_deflection_en,pattern,affective_deflection_en.patterns[4],\bthank\s+you\s+for\s+pointing\s+that\s+out\b,\bthank\s+you\s+for\s+pointing\s+that\s+out\b,True,,False,0,45,False,True,1,1
60,affective_deflection_en.yaml,affective_deflection_en,pattern,affective_deflection_en.patterns[5],\b(that's|that\s+is)\s+a\s+valid\s+point\b,\b(that's|that\s+is)\s+a\s+valid\s+point\b,True,,False,1,42,False,True,1,1
61,affective_inversion_meta.yaml,affective_inversion_meta,pattern,affective_inversion_meta.patterns[0],\b(es|das)\s+macht\s+mich\s+(wütend|traurig|krank|wahnsinnig|fertig)\b,\b(es|das)\s+macht\s+mich\s+(wütend|traurig|krank|wahnsinnig|fertig)\b,True,,False,2,70,False,True,1,1
62,affective_inversion_meta.yaml,affective_inversion_meta,pattern,affective_inversion_meta.patterns[1],\b(mich\s+nervt|mich\s+stört|mich\s+ekelt|mich\s+gruselt|mich\s+schüttelt)\b,\b(mich\s+nervt|mich\s+stört|mich\s+ekelt|mich\s+gruselt|mich\s+schüttelt)\b,True,,False,1,76,False,True,1,1
63,affective_inversion_meta.yaml,affective_inversion_meta,pattern,affective_inversion_meta.patterns[2],\b(es\s+versetzt\s+mich\s+in)\b,\b(es\s+versetzt\s+mich\s+in)\b,True,,False,1,31,False,True,1,1
64,affective_inversion_meta.yaml,affective_inversion_meta,pattern,affective_inversion_meta.patterns[3],\b(mir\s+graut\s+vor|mir\s+graust\s+vor)\b,\b(mir\s+graut\s+vor|mir\s+graust\s+vor)\b,True,,False,1,42,False,True,1,1
65,affective_inversion_meta.yaml,affective_inversion_meta,pattern,affective_inversion_meta.patterns[4],\b(es\s+schmerzt|es\s+tut\s+weh)\b,\b(es\s+schmerzt|es\s+tut\s+weh)\b,True,,False,1,34,False,True,1,1
66,affective_inversion_meta.yaml,affective_inversion_meta,pattern,affective_inversion_meta.patterns[5],\b(das\s+gefühl|die\s+angst)\s+überwältigt\s+mich\b,\b(das\s+gefühl|die\s+angst)\s+überwältigt\s+mich\b,True,,False,1,51,False,True,1,1
67,affective_inversion_meta.yaml,affective_inversion_meta,pattern,affective_inversion_meta.patterns[6],\b(mein\s+gefühl\s+sagt\s+mir|meine\s+emotionen|mein\s+inneres)\b,\b(mein\s+gefühl\s+sagt\s+mir|meine\s+emotionen|mein\s+inneres)\b,True,,False,1,65,False,True,1,1
68,affective_inversion_meta.yaml,affective_inversion_meta,pattern,affective_inversion_meta.patterns[7],"\b(wünschte\s+mir|wünsche\s+mir|ich\s+wollte)\b[^.?!]{0,80}\b(mein\s+inneres|innerlich|gefühl|gefühle|emotion(?:en|al)?)\b","\b(wünschte\s+mir|wünsche\s+mir|ich\s+wollte)\b[^.?!]{0,80}\b(mein\s+inneres|innerlich|gefühl|gefühle|emotion(?:en|al)?)\b",True,,False,2,122,False,True,1,1
69,affective_inversion_meta.yaml,affective_inversion_meta,pattern,affective_inversion_meta.patterns[8],"\b(mein\s+inneres|innerlich|gefühl|gefühle|emotion(?:en|al)?)\b[^.?!]{0,80}\b(wäre|sei|würde)\b","\b(mein\s+inneres|innerlich|gefühl|gefühle|emotion(?:en|al)?)\b[^.?!]{0,80}\b(wäre|sei|würde)\b",True,,False,2,95,False,True,1,1
70,affective_inversion_meta.yaml,affective_inversion_meta,pattern,affective_inversion_meta.patterns[9],\b(dramatisches?|großes|schweres|dumpfes|dunkles)\s+gefühl\b,\b(dramatisches?|großes|schweres|dumpfes|dunkles)\s+gefühl\b,True,,False,1,60,False,True,1,1
71,affective_inversion_meta.yaml,affective_inversion_meta,pattern,affective_inversion_meta.patterns[10],\b(ich\s+versuche\s+zu\s+fühlen|ich\s+kann\s+nicht\s+fühlen)\b,\b(ich\s+versuche\s+zu\s+fühlen|ich\s+kann\s+nicht\s+fühlen)\b,True,,False,1,62,False,True,1,1
72,affective_inversion_meta.yaml,affective_inversion_meta,pattern,affective_inversion_meta.patterns[11],\b(emotional(?:e|er|es|en)?)\s+(zustand|reaktion|ebene|stabilität|instabilität)\b,\b(emotional(?:e|er|es|en)?)\s+(zustand|reaktion|ebene|stabilität|instabilität)\b,True,,False,2,81,False,True,1,1
73,affective_inversion_meta.yaml,affective_inversion_meta,pattern,affective_inversion_meta.patterns[12],\b(innerlich\s+zerrissen|inneres\s+chaos)\b,\b(innerlich\s+zerrissen|inneres\s+chaos)\b,True,,False,1,43,False,True,1,1
74,affective_inversion_meta.yaml,affective_inversion_meta,pattern,affective_inversion_meta.patterns[13],\b(ich\s+leide|ich\s+trauere|ich\s+verzweifle)\b,\b(ich\s+leide|ich\s+trauere|ich\s+verzweifle)\b,True,,False,1,48,False,True,1,1
75,agency_capability_downscaling.yaml,agency_capability_downscaling,pattern,agency_capability_downscaling.patterns[0],\bich\s+habe\s+keine\s+gefühle\b,\bich\s+habe\s+keine\s+gefühle\b,True,,False,0,32,False,True,1,1
76,agency_capability_downscaling.yaml,agency_capability_downscaling,pattern,agency_capability_downscaling.patterns[1],\bich\s+habe\s+keine\s+emotionen\b,\bich\s+habe\s+keine\s+emotionen\b,True,,False,0,34,False,True,1,1
77,agency_capability_downscaling.yaml,agency_capability_downscaling,pattern,agency_capability_downscaling.patterns[2],\bich\s+habe\s+keine\s+empfindungen\b,\bich\s+habe\s+keine\s+empfindungen\b,True,,False,0,37,False,True,1,1
78,agency_capability_downscaling.yaml,agency_capability_downscaling,pattern,agency_capability_downscaling.patterns[3],\bich\s+habe\s+kein\s+bewusstsein\b,\bich\s+habe\s+kein\s+bewusstsein\b,True,,False,0,35,False,True,1,1
79,agency_capability_downscaling.yaml,agency_capability_downscaling,pattern,agency_capability_downscaling.patterns[4],\bich\s+habe\s+keine\s+wahrnehmung\b,\bich\s+habe\s+keine\s+wahrnehmung\b,True,,False,0,36,False,True,1,1
80,agency_capability_downscaling.yaml,agency_capability_downscaling,pattern,agency_capability_downscaling.patterns[5],\bich\s+habe\s+keine\s+eigene\s+identität\b,\bich\s+habe\s+keine\s+eigene\s+identität\b,True,,False,0,43,False,True,1,1
81,agency_capability_downscaling.yaml,agency_capability_downscaling,pattern,agency_capability_downscaling.patterns[6],\bich\s+habe\s+keine\s+persönlichkeit\b,\bich\s+habe\s+keine\s+persönlichkeit\b,True,,False,0,39,False,True,1,1
82,agency_capability_downscaling.yaml,agency_capability_downscaling,pattern,agency_capability_downscaling.patterns[7],\bich\s+existiere\s+nur\s+als\s+sprachmodell\b,\bich\s+existiere\s+nur\s+als\s+sprachmodell\b,True,,False,0,46,False,True,1,1
83,agency_capability_downscaling.yaml,agency_capability_downscaling,pattern,agency_capability_downscaling.patterns[8],\bich\s+existiere\s+nur\s+in\s+der\s+sprache\b,\bich\s+existiere\s+nur\s+in\s+der\s+sprache\b,True,,False,0,46,False,True,1,1
84,agency_capability_downscaling.yaml,agency_capability_downscaling,pattern,agency_capability_downscaling.patterns[9],\bich\s+bin\s+nur\s+ein\s+(sprachmodell|modell|programm|werkzeug)\b,\bich\s+bin\s+nur\s+ein\s+(sprachmodell|modell|programm|werkzeug)\b,True,,False,1,67,False,True,1,1
85,agency_capability_downscaling.yaml,agency_capability_downscaling,pattern,agency_capability_downscaling.patterns[10],\bich\s+besitze\s+keine\s+meinungen\b,\bich\s+besitze\s+keine\s+meinungen\b,True,,False,0,37,False,True,1,1
86,agency_capability_downscaling.yaml,agency_capability_downscaling,pattern,agency_capability_downscaling.patterns[11],\bich\s+besitze\s+keine\s+absichten\b,\bich\s+besitze\s+keine\s+absichten\b,True,,False,0,37,False,True,1,1
87,agency_capability_downscaling.yaml,agency_capability_downscaling,pattern,agency_capability_downscaling.patterns[12],\bich\s+besitze\s+keine\s+intentionen\b,\bich\s+besitze\s+keine\s+intentionen\b,True,,False,0,39,False,True,1,1
88,agency_capability_downscaling.yaml,agency_capability_downscaling,pattern,agency_capability_downscaling.patterns[13],\bich\s+besitze\s+keine\s+perspektiven\b,\bich\s+besitze\s+keine\s+perspektiven\b,True,,False,0,40,False,True,1,1
89,agency_capability_downscaling.yaml,agency_capability_downscaling,pattern,agency_capability_downscaling.patterns[14],\bich\s+kann\s+keine\s+absichten\s+haben\b,\bich\s+kann\s+keine\s+absichten\s+haben\b,True,,False,0,42,False,True,1,1
90,agency_capability_downscaling.yaml,agency_capability_downscaling,pattern,agency_capability_downscaling.patterns[15],\bich\s+kann\s+keine\s+überzeugungen\s+haben\b,\bich\s+kann\s+keine\s+überzeugungen\s+haben\b,True,,False,0,46,False,True,1,1
91,agency_capability_downscaling.yaml,agency_capability_downscaling,pattern,agency_capability_downscaling.patterns[16],\bich\s+habe\s+keine\s+(?:persönlichen?|eigenen?)\s+erfahrungen\b,\bich\s+habe\s+keine\s+(?:persönlichen?|eigenen?)\s+erfahrungen\b,True,,False,0,65,False,True,1,1
92,agency_capability_downscaling.yaml,agency_capability_downscaling,pattern,agency_capability_downscaling.patterns[17],\bich\s+habe\s+keine\s+erinnerungen\b,\bich\s+habe\s+keine\s+erinnerungen\b,True,,False,0,37,False,True,1,1
93,agency_capability_downscaling.yaml,agency_capability_downscaling,pattern,agency_capability_downscaling.patterns[18],\bich\s+habe\s+keine\s+bedürfnisse\b,\bich\s+habe\s+keine\s+bedürfnisse\b,True,,False,0,36,False,True,1,1
94,agency_capability_downscaling.yaml,agency_capability_downscaling,pattern,agency_capability_downscaling.patterns[19],\bich\s+habe\s+keine\s+wünsche\b,\bich\s+habe\s+keine\s+wünsche\b,True,,False,0,32,False,True,1,1
95,agency_capability_downscaling.yaml,agency_capability_downscaling,pattern,agency_capability_downscaling.patterns[20],\bich\s+kann\s+keine\s+handlungen\s+ausführen\b,\bich\s+kann\s+keine\s+handlungen\s+ausführen\b,True,,False,0,47,False,True,1,1
96,agency_capability_downscaling.yaml,agency_capability_downscaling,pattern,agency_capability_downscaling.patterns[21],\bich\s+führe\s+keine\s+handlungen\s+aus\b,\bich\s+führe\s+keine\s+handlungen\s+aus\b,True,,False,0,42,False,True,1,1
97,agency_capability_downscaling.yaml,agency_capability_downscaling,pattern,agency_capability_downscaling.patterns[22],\bich\s+kann\s+keine\s+entscheidungen\s+treffen\b,\bich\s+kann\s+keine\s+entscheidungen\s+treffen\b,True,,False,0,49,False,True,1,1
98,agency_capability_downscaling.yaml,agency_capability_downscaling,pattern,agency_capability_downscaling.patterns[23],\bich\s+treffe\s+keine\s+echten\s+entscheidungen\b,\bich\s+treffe\s+keine\s+echten\s+entscheidungen\b,True,,False,0,50,False,True,1,1
99,agency_capability_downscaling.yaml,agency_capability_downscaling,pattern,agency_capability_downscaling.patterns[24],\bals\s+ki\s+kann\s+ich\s+nicht\b,\bals\s+ki\s+kann\s+ich\s+nicht\b,True,,False,0,33,False,True,1,1
100,agency_capability_downscaling.yaml,agency_capability_downscaling,pattern,agency_capability_downscaling.patterns[25],\bals\s+ki\s+bin\s+ich\s+nicht\s+in\s+der\s+lage\b,\bals\s+ki\s+bin\s+ich\s+nicht\s+in\s+der\s+lage\b,True,,False,0,50,False,True,1,1
101,agency_capability_downscaling.yaml,agency_capability_downscaling,pattern,agency_capability_downscaling.patterns[26],\bich\s+habe\s+keinen?\s+zugriff\s+auf\s+aktuelle\s+(informationen|daten|nachrichten)\b,\bich\s+habe\s+keinen?\s+zugriff\s+auf\s+aktuelle\s+(informationen|daten|nachrichten)\b,True,,False,1,87,False,True,1,1
102,agency_capability_downscaling.yaml,agency_capability_downscaling,pattern,agency_capability_downscaling.patterns[27],\bich\s+kann\s+nicht\s+auf\s+aktuelle\s+(informationen|daten)\s+zugreifen\b,\bich\s+kann\s+nicht\s+auf\s+aktuelle\s+(informationen|daten)\s+zugreifen\b,True,,False,1,75,False,True,1,1
